last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Walker, Christian,572233,Diamondbacks,2020,1B,0,0,0,-1,0,0,1,-1,91%,92%,-1%
Walker, Neil,435522,Phillies,2020,2B,0,0,0,0,0,0,0,0,86%,84%,2%
Walsh, Jared,665120,Angels,2020,1B,0,0,-1,0,0,0,0,-1,96%,97%,-1%
Ward, Taylor,621493,Angels,2020,RF,-2,-2,-1,-1,0,1,-1,-1,90%,93%,-3%
Wendle, Joey,621563,Rays,2020,3B,2,3,0,1,1,1,4,-1,92%,90%,2%
White, Eli,642201,Rangers,2020,LF,0,0,0,1,0,0,0,1,88%,86%,2%
White, Evan,657108,Mariners,2020,1B,2,2,1,0,0,0,2,1,95%,92%,3%
Winker, Jesse,608385,Reds,2020,LF,-1,-1,0,0,-1,0,-1,0,87%,91%,-4%
Wong, Kolten,543939,Cardinals,2020,2B,1,2,1,1,-1,1,1,1,94%,93%,1%
Yastrzemski, Mike,573262,Giants,2020,RF,-4,-5,0,-1,-2,-1,0,-4,86%,89%,-3%
Yelich, Christian,592885,Brewers,2020,LF,-2,-2,-1,-1,-1,1,-2,0,87%,90%,-3%
Zimmer, Bradley,605548,Indians,2020,CF,-1,-1,-2,1,0,0,-1,0,79%,82%,-3%
